PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1157,0,3,"Lyntakoff, Mr. Stanko",male,,0,0,349235,7.8958,,S
1158,0,1,"Chisholm, Mr. Roderick Robert Crispin",male,,0,0,112051,0.0,,S
1159,0,3,"Warren, Mr. Charles William",male,,0,0,C.A. 49867,7.55,,S
1160,1,3,"Howard, Miss. May Elizabeth",female,,0,0,A. 2. 39186,8.05,,S
1163,0,3,"Fox, Mr. Patrick",male,,0,0,368573,7.75,,Q
1165,1,3,"Lennon, Miss. Mary",female,,1,0,370371,15.5,,Q
1166,0,3,"Saade, Mr. Jean Nassr",male,,0,0,2676,7.225,,C
1174,1,3,"Fleming, Miss. Honora",female,,0,0,364859,7.75,,Q
1178,0,3,"Franklin, Mr. Charles (Charles Fardon)",male,,0,0,SOTON/O.Q. 3101314,7.25,,S
1180,0,3,"Mardirosian, Mr. Sarkis",male,,0,0,2655,7.2292,F E46,C
1181,0,3,"Ford, Mr. Arthur",male,,0,0,A/5 1478,8.05,,S
1182,0,1,"Rheims, Mr. George Alexander Lucien",male,,0,0,PC 17607,39.6,,S
1184,0,3,"Nasr, Mr. Mustafa",male,,0,0,2652,7.2292,,C
1189,0,3,"Samaan, Mr. Hanna",male,,2,0,2662,21.6792,,C
1193,0,2,"Malachard, Mr. Noel",male,,0,0,237735,15.0458,D,C
1196,1,3,"McCarthy, Miss. Catherine Katie""""",female,,0,0,383123,7.75,,Q
1204,0,3,"Sadowitz, Mr. Harry",male,,0,0,LP 1588,7.575,,S
1224,0,3,"Thomas, Mr. Tannous",male,,0,0,2684,7.225,,C
1231,0,3,"Betros, Master. Seman",male,,0,0,2622,7.2292,,C
1234,0,3,"Sage, Mr. John George",male,,1,9,CA. 2343,69.55,,S
1236,0,3,"van Billiard, Master. James William",male,,1,1,A/5. 851,14.5,,S
1249,0,3,"Lockyer, Mr. Edward",male,,0,0,1222,7.8792,,S
1250,0,3,"O'Keefe, Mr. Patrick",male,,0,0,368402,7.75,,Q
1257,1,3,"Sage, Mrs. John (Annie Bullen)",female,,1,9,CA. 2343,69.55,,S
1258,0,3,"Caram, Mr. Joseph",male,,1,0,2689,14.4583,,C
1272,0,3,"O'Connor, Mr. Patrick",male,,0,0,366713,7.75,,Q
1274,1,3,"Risien, Mrs. Samuel (Emma)",female,,0,0,364498,14.5,,S
1276,0,2,"Wheeler, Mr. Edwin Frederick""""",male,,0,0,SC/PARIS 2159,12.875,,S
1300,1,3,"Riordan, Miss. Johanna Hannah""""",female,,0,0,334915,7.7208,,Q
1302,1,3,"Naughton, Miss. Hannah",female,,0,0,365237,7.75,,Q
1305,0,3,"Spector, Mr. Woolf",male,,0,0,A.5. 3236,8.05,,S
1308,0,3,"Ware, Mr. Frederick",male,,0,0,359309,8.05,,S
1309,0,3,"Peter, Master. Michael J",male,,1,1,2668,22.3583,,C
